seconds,datetime,latitude,longitude,speed_mph,altitude_ft
0.0,1900-01-01 10:48:57,29.9569,-95.3369,183.0,1075.0
1.0,1900-01-01 10:48:58,29.956356250000002,-95.33618125,184.0625,1100.0
2.0,1900-01-01 10:48:59,29.9558125,-95.3354625,185.125,1125.0
3.0,1900-01-01 10:49:00,29.955268750000002,-95.33474375,186.1875,1150.0
4.0,1900-01-01 10:49:01,29.954725,-95.334025,187.25,1175.0
5.0,1900-01-01 10:49:02,29.95418125,-95.33330625,188.3125,1200.0
6.0,1900-01-01 10:49:03,29.9536375,-95.3325875,189.375,1225.0
7.0,1900-01-01 10:49:04,29.95309375,-95.33186875,190.4375,1250.0
8.0,1900-01-01 10:49:05,29.952550000000002,-95.33115000000001,191.5,1275.0
9.0,1900-01-01 10:49:06,29.95200625,-95.33043125,192.5625,1300.0
10.0,1900-01-01 10:49:07,29.9514625,-95.3297125,193.625,1325.0
11.0,1900-01-01 10:49:08,29.95091875,-95.32899375,194.6875,1350.0
12.0,1900-01-01 10:49:09,29.950375,-95.328275,195.75,1375.0
13.0,1900-01-01 10:49:10,29.94983125,-95.32755625,196.8125,1400.0
14.0,1900-01-01 10:49:11,29.9492875,-95.3268375,197.875,1425.0
15.0,1900-01-01 10:49:12,29.94874375,-95.32611875,198.9375,1450.0
16.0,1900-01-01 10:49:13,29.9482,-95.3254,200.0,1475.0
17.0,1900-01-01 10:49:14,29.94765,-95.32461875,201.4375,1493.75
18.0,1900-01-01 10:49:15,29.9471,-95.3238375,202.875,1512.5
19.0,1900-01-01 10:49:16,29.94655,-95.32305625000001,204.3125,1531.25
20.0,1900-01-01 10:49:17,29.945999999999998,-95.322275,205.75,1550.0
21.0,1900-01-01 10:49:18,29.94545,-95.32149375,207.1875,1568.75
22.0,1900-01-01 10:49:19,29.9449,-95.3207125,208.625,1587.5
23.0,1900-01-01 10:49:20,29.94435,-95.31993125,210.0625,1606.25
24.0,1900-01-01 10:49:21,29.9438,-95.31915000000001,211.5,1625.0
25.0,1900-01-01 10:49:22,29.94325,-95.31836875,212.9375,1643.75
26.0,1900-01-01 10:49:23,29.9427,-95.3175875,214.375,1662.5
27.0,1900-01-01 10:49:24,29.942149999999998,-95.31680625,215.8125,1681.25
28.0,1900-01-01 10:49:25,29.9416,-95.316025,217.25,1700.0
29.0,1900-01-01 10:49:26,29.94105,-95.31524375,218.6875,1718.75
30.0,1900-01-01 10:49:27,29.9405,-95.3144625,220.125,1737.5
31.0,1900-01-01 10:49:28,29.93995,-95.31368125,221.5625,1756.25
32.0,1900-01-01 10:49:29,29.9394,-95.3129,223.0,1775.0
33.0,1900-01-01 10:49:30,29.93883125,-95.312025,224.75,1789.0625
34.0,1900-01-01 10:49:31,29.9382625,-95.31115,226.5,1803.125
35.0,1900-01-01 10:49:32,29.937693749999998,-95.310275,228.25,1817.1875
36.0,1900-01-01 10:49:33,29.937124999999998,-95.3094,230.0,1831.25
37.0,1900-01-01 10:49:34,29.93655625,-95.308525,231.75,1845.3125
38.0,1900-01-01 10:49:35,29.9359875,-95.30765,233.5,1859.375
39.0,1900-01-01 10:49:36,29.93541875,-95.306775,235.25,1873.4375
40.0,1900-01-01 10:49:37,29.934849999999997,-95.30590000000001,237.0,1887.5
41.0,1900-01-01 10:49:38,29.934281249999998,-95.305025,238.75,1901.5625
42.0,1900-01-01 10:49:39,29.9337125,-95.30415,240.5,1915.625
43.0,1900-01-01 10:49:40,29.93314375,-95.303275,242.25,1929.6875
44.0,1900-01-01 10:49:41,29.932575,-95.3024,244.0,1943.75
45.0,1900-01-01 10:49:42,29.93200625,-95.301525,245.75,1957.8125
46.0,1900-01-01 10:49:43,29.931437499999998,-95.30065,247.5,1971.875
47.0,1900-01-01 10:49:44,29.93086875,-95.299775,249.25,1985.9375
48.0,1900-01-01 10:49:45,29.9303,-95.2989,251.0,2000.0
49.0,1900-01-01 10:49:46,29.92964375,-95.29791875000001,252.875,2017.1875
50.0,1900-01-01 10:49:47,29.928987499999998,-95.2969375,254.75,2034.375
51.0,1900-01-01 10:49:48,29.92833125,-95.29595625,256.625,2051.5625
52.0,1900-01-01 10:49:49,29.927675,-95.294975,258.5,2068.75
53.0,1900-01-01 10:49:50,29.92701875,-95.29399375,260.375,2085.9375
54.0,1900-01-01 10:49:51,29.9263625,-95.2930125,262.25,2103.125
55.0,1900-01-01 10:49:52,29.925706249999998,-95.29203125,264.125,2120.3125
56.0,1900-01-01 10:49:53,29.92505,-95.29105,266.0,2137.5
57.0,1900-01-01 10:49:54,29.92439375,-95.29006875,267.875,2154.6875
58.0,1900-01-01 10:49:55,29.923737499999998,-95.2890875,269.75,2171.875
59.0,1900-01-01 10:49:56,29.92308125,-95.28810625,271.625,2189.0625
60.0,1900-01-01 10:49:57,29.922424999999997,-95.287125,273.5,2206.25
61.0,1900-01-01 10:49:58,29.92176875,-95.28614375,275.375,2223.4375
62.0,1900-01-01 10:49:59,29.9211125,-95.2851625,277.25,2240.625
63.0,1900-01-01 10:50:00,29.920456249999997,-95.28418124999999,279.125,2257.8125
64.0,1900-01-01 10:50:01,29.9198,-95.2832,281.0,2275.0
65.0,1900-01-01 10:50:02,29.919056666666666,-95.28216666666665,281.8666666666667,2312.5
66.0,1900-01-01 10:50:03,29.918313333333334,-95.28113333333333,282.73333333333335,2350.0
67.0,1900-01-01 10:50:04,29.917569999999998,-95.28009999999999,283.6,2387.5
68.0,1900-01-01 10:50:05,29.916826666666665,-95.27906666666667,284.46666666666664,2425.0
69.0,1900-01-01 10:50:06,29.916083333333333,-95.27803333333333,285.3333333333333,2462.5
70.0,1900-01-01 10:50:07,29.91534,-95.277,286.2,2500.0
71.0,1900-01-01 10:50:08,29.914596666666665,-95.27596666666666,287.06666666666666,2537.5
72.0,1900-01-01 10:50:09,29.913853333333332,-95.27493333333332,287.93333333333334,2575.0
73.0,1900-01-01 10:50:10,29.91311,-95.2739,288.8,2612.5
74.0,1900-01-01 10:50:11,29.912366666666667,-95.27286666666666,289.6666666666667,2650.0
75.0,1900-01-01 10:50:12,29.91162333333333,-95.27183333333333,290.53333333333336,2687.5
76.0,1900-01-01 10:50:13,29.91088,-95.2708,291.4,2725.0
77.0,1900-01-01 10:50:14,29.910136666666666,-95.26976666666667,292.26666666666665,2762.5
78.0,1900-01-01 10:50:15,29.909393333333334,-95.26873333333333,293.1333333333333,2800.0
79.0,1900-01-01 10:50:16,29.90865,-95.26769999999999,294.0,2837.5
80.0,1900-01-01 10:50:17,29.907906666666666,-95.26666666666667,294.8666666666667,2875.0
81.0,1900-01-01 10:50:18,29.907163333333333,-95.26563333333333,295.73333333333335,2912.5
82.0,1900-01-01 10:50:19,29.90642,-95.2646,296.6,2950.0
83.0,1900-01-01 10:50:20,29.90567666666667,-95.26356666666666,297.4666666666667,2987.5
84.0,1900-01-01 10:50:21,29.904933333333332,-95.26253333333334,298.3333333333333,3025.0
85.0,1900-01-01 10:50:22,29.90419,-95.2615,299.2,3062.5
86.0,1900-01-01 10:50:23,29.903446666666667,-95.26046666666667,300.06666666666666,3100.0
87.0,1900-01-01 10:50:24,29.902703333333335,-95.25943333333333,300.93333333333334,3137.5
88.0,1900-01-01 10:50:25,29.90196,-95.2584,301.8,3175.0
89.0,1900-01-01 10:50:26,29.901216666666667,-95.25736666666667,302.6666666666667,3212.5
90.0,1900-01-01 10:50:27,29.900473333333334,-95.25633333333333,303.53333333333336,3250.0
91.0,1900-01-01 10:50:28,29.89973,-95.2553,304.4,3287.5
92.0,1900-01-01 10:50:29,29.898986666666666,-95.25426666666667,305.26666666666665,3325.0
93.0,1900-01-01 10:50:30,29.898243333333333,-95.25323333333334,306.1333333333333,3362.5
94.0,1900-01-01 10:50:31,29.8975,-95.2522,307.0,3400.0
95.0,1900-01-01 10:50:32,29.89674642857143,-95.25103571428572,307.17857142857144,3420.535714285714
